probe_relative_path,true_identity,full_image_rank_1,crop_fallback_rank_1,full_image_true_identity_rank,crop_fallback_true_identity_rank,rank_delta_crop_minus_full,full_image_top_1_correct,crop_fallback_top_1_correct,case_type,mtcnn_face_detected,mtcnn_confidence,crop_area_ratio,fallback_reason
probe/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,Aaron_Sorkin,Aaron_Sorkin,Aaron_Sorkin,1,1,0,True,True,both_correct,True,1.0,0.259008,
probe/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,Abdel_Nasser_Assidi,Abdel_Nasser_Assidi,Abdel_Nasser_Assidi,1,1,0,True,True,both_correct,True,0.9999951124191284,0.275424,
probe/Abdullah/Abdullah_0002.jpg,Abdullah,Abdullah,Abdullah,1,1,0,True,True,both_correct,True,0.9999997615814209,0.234544,
probe/Abdullah_Gul/Abdullah_Gul_0002.jpg,Abdullah_Gul,Abdullah_Gul,Abdullah_Gul,1,1,0,True,True,both_correct,True,0.99997878074646,0.217056,
probe/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,Abdullah_al-Attiyah,Abdullah_al-Attiyah,Abdullah_al-Attiyah,1,1,0,True,True,both_correct,True,0.99919193983078,0.2472,
probe/Abdullatif_Sener/Abdullatif_Sener_0002.jpg,Abdullatif_Sener,Abdullatif_Sener,Abdullatif_Sener,1,1,0,True,True,both_correct,True,0.9999861717224121,0.200032,
probe/Abel_Pacheco/Abel_Pacheco_0002.jpg,Abel_Pacheco,Abel_Pacheco,Abel_Pacheco,1,1,0,True,True,both_correct,True,0.9999643564224243,0.242528,
probe/Adam_Scott/Adam_Scott_0002.jpg,Adam_Scott,Mike_Weir,Mike_Weir,35,2,-33,False,False,neither_correct,True,0.9998049139976501,0.23584,
probe/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0002.jpg,Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser,1,1,0,True,True,both_correct,True,0.9999902248382568,0.192832,
probe/Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa_0002.jpg,Adolfo_Rodriguez_Saa,Lily_Tomlin,Adolfo_Rodriguez_Saa,13,1,-12,False,True,cropping_helps,True,0.9998263716697693,0.22464,
probe/Adrian_McPherson/Adrian_McPherson_0002.jpg,Adrian_McPherson,LeBron_James,Adrian_McPherson,8,1,-7,False,True,cropping_helps,True,0.9999996423721313,0.21424,
probe/Adrian_Nastase/Adrian_Nastase_0002.jpg,Adrian_Nastase,Adrian_Nastase,Adrian_Nastase,1,1,0,True,True,both_correct,True,0.9998501539230347,0.247616,
probe/Ahmad_Masood/Ahmad_Masood_0002.jpg,Ahmad_Masood,Ahmad_Masood,Ahmad_Masood,1,1,0,True,True,both_correct,True,1.0,0.224128,
probe/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,Ahmet_Necdet_Sezer,Ahmet_Necdet_Sezer,Ahmet_Necdet_Sezer,1,1,0,True,True,both_correct,True,0.9999980926513672,0.227856,
probe/Aitor_Gonzalez/Aitor_Gonzalez_0002.jpg,Aitor_Gonzalez,Aitor_Gonzalez,Aitor_Gonzalez,1,1,0,True,True,both_correct,True,0.9999542236328125,0.233696,
probe/Al_Davis/Al_Davis_0002.jpg,Al_Davis,Al_Davis,Al_Davis,1,1,0,True,True,both_correct,True,0.9999749660491943,0.264384,
probe/Alan_Ball/Alan_Ball_0002.jpg,Alan_Ball,Alan_Ball,Alan_Ball,1,1,0,True,True,both_correct,True,0.9999816417694092,0.274688,
probe/Alan_Mulally/Alan_Mulally_0002.jpg,Alan_Mulally,Alan_Mulally,Alan_Mulally,1,1,0,True,True,both_correct,True,0.9999953508377075,0.332304,
probe/Alastair_Campbell/Alastair_Campbell_0002.jpg,Alastair_Campbell,Alastair_Campbell,Alastair_Campbell,1,1,0,True,True,both_correct,True,0.9998525381088257,0.21816,
probe/Albert_Costa/Albert_Costa_0002.jpg,Albert_Costa,Albert_Costa,Albert_Costa,1,1,0,True,True,both_correct,True,0.9998300075531006,0.204544,
probe/Alberto_Fujimori/Alberto_Fujimori_0002.jpg,Alberto_Fujimori,Lee_Hoi-chang,Alberto_Fujimori,10,1,-9,False,True,cropping_helps,True,1.0,0.20064,
probe/Alberto_Ruiz_Gallardon/Alberto_Ruiz_Gallardon_0002.jpg,Alberto_Ruiz_Gallardon,Alberto_Ruiz_Gallardon,Alberto_Ruiz_Gallardon,1,1,0,True,True,both_correct,True,0.9999793767929077,0.251664,
probe/Albrecht_Mentz/Albrecht_Mentz_0002.jpg,Albrecht_Mentz,Albrecht_Mentz,Albrecht_Mentz,1,1,0,True,True,both_correct,True,0.9970574378967285,0.189888,
probe/Aldo_Paredes/Aldo_Paredes_0002.jpg,Aldo_Paredes,Michael_Chang,Harry_Schmidt,2,409,407,False,False,neither_correct,True,0.9999994039535522,0.175152,
probe/Alec_Baldwin/Alec_Baldwin_0002.jpg,Alec_Baldwin,Alec_Baldwin,Alec_Baldwin,1,1,0,True,True,both_correct,True,0.9999998807907104,0.262848,
probe/Alejandro_Atchugarry/Alejandro_Atchugarry_0002.jpg,Alejandro_Atchugarry,Alejandro_Atchugarry,Alejandro_Atchugarry,1,1,0,True,True,both_correct,True,0.9999983310699463,0.219184,
probe/Alejandro_Avila/Alejandro_Avila_0002.jpg,Alejandro_Avila,Alejandro_Avila,Alejandro_Avila,1,1,0,True,True,both_correct,True,0.999987006187439,0.232832,
probe/Alejandro_Toledo/Alejandro_Toledo_0002.jpg,Alejandro_Toledo,Alejandro_Toledo,Alejandro_Toledo,1,1,0,True,True,both_correct,True,0.9995263814926147,0.19968,
probe/Aleksander_Kwasniewski/Aleksander_Kwasniewski_0002.jpg,Aleksander_Kwasniewski,Aleksander_Kwasniewski,Aleksander_Kwasniewski,1,1,0,True,True,both_correct,True,0.999984860420227,0.2552,
probe/Alex_Barros/Alex_Barros_0002.jpg,Alex_Barros,Alex_Barros,Vincent_Brooks,1,3,2,True,False,cropping_hurts,True,0.9999951124191284,0.276624,
probe/Alex_Penelas/Alex_Penelas_0002.jpg,Alex_Penelas,Alex_Penelas,Alex_Penelas,1,1,0,True,True,both_correct,True,0.9985296726226807,0.233376,
probe/Alexander_Losyukov/Alexander_Losyukov_0002.jpg,Alexander_Losyukov,Alexander_Losyukov,Alexander_Losyukov,1,1,0,True,True,both_correct,True,0.9999951124191284,0.306544,
probe/Alexander_Rumyantsev/Alexander_Rumyantsev_0002.jpg,Alexander_Rumyantsev,Alexander_Rumyantsev,Alexander_Rumyantsev,1,1,0,True,True,both_correct,True,0.999907374382019,0.232368,
